"imieniem Mikołaja Kopernika nazwano kratery na dwóch ciałach Układu Słonecznego?";"Księżyc, Mars";"Astronomia i Astrologia"
"który ptak kojarzy się z pomyłką dziennikarską?";"Kaczka";"Powiedzenia i Przysłowia"
"jak nazywa się obszar w Europie, na którym nie ma kontroli granicznej?";"Strefa Schengen";"Europa: Polityka i Gospodarka"
"sylaba zakończona samogłoską to sylaba otwarta czy zamknięta?";"Otwarta";"Język Polski"
"podaj pełny tytuł epopei: «Pan Tadeusz, czyli…»";"Ostatni zajazd na Litwie";"Literatura Polska"
"jak nazywamy soloną ikrę ryb jesiotrowatych?";"Kawior";"Dania i Napoje"
"ile amerykańskich pancerników zatopili Japończycy w Pearl Harbor?";"Pięć";"II Wojna Światowa"
"staw łokciowy jest stawem zawiasowym czy obrotowym?";"Zawiasowym";"Biologia"
"wymień co najmniej trzy państwa należące do G7";"USA, Japonia, Kanada (także: Niemcy, Francja, Włochy, Wielka Brytania)";"Organizacje Międzynarodowe"
"z którego owocu sok używany jest przy dekoracji Kawalerów Uśmiechu?";"Z cytryny";"Dania i Napoje"
"czy orzeczenie separacji pozwala małżonkom wrócić do nazwiska sprzed małżeństwa?";"NIE";"Prawo"
"kto jest reżyserem filmów «E.T.» i «Park Jurajski»?";"Steven Spielberg";"Film i Telewizja"
"jakiego koloru kwiaty ma czarny bez?";"Białe";"Botanika"
"podczas którego powstania rozegrała się bitwa o Olszynkę Grochowską?";"Powstania listopadowego";"Historia Polski"
"czy istnieje węglowodór nienasycony zawierający tylko jedno wiązanie nienasycone?";"NIE";"Chemia"
"rzeźba «Dawid» Michała Anioła przedstawia króla przed którym wydarzeniem biblijnym?";"Przed walką z Goliatem";"Malarstwo, Rzeźba, Architektura"
"«wolna prasa» to według metaforycznej hierarchii która władza?";"Czwarta";"Prasa"
"jak nazywa się futerał na strzały do łuku?";"Kołczan";"Broń"
"czego jednostką w układzie SI jest radian?";"Kąta płaskiego";"Miary i Wagi"
"jak nazywa się promieniotwórczy pierwiastek chemiczny o liczbie atomowej 102?";"Nobel (nobelium)";"Chemia"
"kto wprowadził do literatury polskiej krótki utwór zwany fraszką?";"Jan Kochanowski";"Literatura Polska"
"ile lat żył Vincent van Gogh: 37, 57 czy 77?";"37";"Malarstwo, Rzeźba, Architektura"
"do którego morza uchodzi rzeka Niemen?";"Do Morza Bałtyckiego";"Geografia Fizyczna"
"którym greckim słowem określamy zjawisko dźwiękonaśladownictwa?";"Onomatopeja";"Język Polski"
"pocketbook ma twardą czy miękką okładkę?";"Miękką";"Księgarstwo i Wydawnictwa"
"ilu cyfr rzymskich użyjemy do zapisania liczby 156?";"Czterech (CLVI)";"Matematyka"
"«O tempora, o mores!» — kto wypowiedział te słowa?";"Cyceron";"Historia Starożytna"
"w którym mieście rozgrywa się akcja operetki «Wesoła wdówka»?";"W Paryżu";"Muzyka: Operetka"
"czy podczas topnienia ciało pobiera, czy oddaje energię do otoczenia?";"Pobiera";"Fizyka"
"jak nazywa się bezleśny obszar strefy subarktycznej?";"Tundra";"Geografia Fizyczna"
"terminy Lento, Adagio, Largo — które oznacza najwolniejsze tempo?";"Largo";"Muzyka: Klasyka Światowa"
"który miesiąc rozpoczyna czwarty kwartał roku?";"Październik";"Kalendarz i Czas"
"w którym wieku utworzono Uniwersytet Warszawski?";"W XIX wieku (1816)";"Historia Polski"
"który biblijny patriarcha był ojcem Izaaka?";"Abraham";"Biblia: Stary i Nowy Testament"
"która europejska ryba odbywa wędrówkę tarłową do Morza Sargassowego?";"Węgorz europejski";"Zoologia"
"w którym filmie Jerzy Stuhr zagrał przywódcę krasnoludków?";"«Kingsajz»";"Film i Telewizja"
"jakiego fortelu użył Hipomenes, by pokonać Atalantę w biegu?";"Rzucał na trasę złote jabłka";"Mitologia Grecka i Rzymska"
"jak Kolumb nazwał wyspę, do której dotarł w 1492 r.?";"San Salwador";"Historia Nowożytna"
"z którego kontynentu pochodzi drzewo moreli?";"Z Azji";"Botanika"
"jak nazywał się kosmyk włosów na czubku ogolonej głowy Kozaka?";"Osełedec (czupryna)";"Etnografia"
"dewizą którego zakonu są słowa «Ora et labora»?";"Benedyktynów";"Kościoły i Religie Świata"
"jak nazywa się jednostka indukcyjności w układzie SI?";"Henr (henr – H)";"Fizyka"
"z którego miasta pochodził Gabriel Fahrenheit?";"Z Gdańska";"Historia techniki"
"z mleka którego zwierzęcia wyrabia się bundz?";"Owcy";"Dania i Napoje"
"jak z niemieckiego nazywa się nić do prowizorycznego szycia?";"Fastryga";"Moda i Ubiory"
"czy asfalt występuje w przyrodzie w stanie naturalnym?";"TAK";"Geologia"
"które trzy kolory widnieją na fladze Nowej Zelandii?";"Niebieski, biały, czerwony";"Symbole państw"
"którą postać w serialu «Janosik» zagrał Jan Kociniak?";"Murgrabiego";"Telewizja"
"jak nazywa się bok trójkąta prostokątnego leżący przy kącie prostym?";"Przyprostokątna";"Matematyka"
"ile ton waży dzwon Zygmunt?";"Około 11 ton";"Malarstwo, Rzeźba, Architektura"
"gdzie Kaczka Dziwaczka chciała kupić znaczki?";"U praczki";"Piosenki dziecięce"
"czy halcedon jest odmianą kwarcu czy węglanu wapnia?";"Kwarcu";"Geologia"
"jak nazywa się najszybsza odmiana końskiego galopu?";"Cwał";"Zoologia"
"w której dzielnicy Nowego Jorku znajduje się Central Park?";"Na Manhattanie";"Miasta Świata"
"którą chorobą dotknięty był biblijny Hiob?";"Trądem";"Biblia: Stary i Nowy Testament"
"kto żył wcześniej: Michał Anioł czy Caravaggio?";"Caravaggio";"Malarstwo, Rzeźba, Architektura"
"«Daj, ać ja pobruszę, a ty poczywaj» — z którego to wieku pochodzi to zdanie?";"Z XIII wieku";"Historia Polski"
"czy tatarak bywa stosowany w lecznictwie?";"TAK";"Medycyna"
"kogo w średniowieczu chrześcijanie nazywali Saracenami?";"Arabów (muzułmanów)";"Historia Średniowiecza"
"jak nazywa się jednostka złożona z 3 do 5 batalionów?";"Pułk";"Armie Świata"
"wyrażenia «nie lepiej», «nienajlepiej» — piszemy razem czy osobno?";"Rozdzielnie";"Język Polski"
"kim był Kirkor dla Balladyny?";"Jej mężem";"Literatura Polska"
"na którym kontynencie występują szympansy w stanie naturalnym?";"W Afryce";"Zoologia"
"jak nazywa się największy w Polsce obszar lotnych piasków (pustynia)?";"Pustynia Błędowska";"Geografia Fizyczna"
"czy liczba π jest liczbą wymierną?";"NIE";"Matematyka"
"w którym roku rozegrały się walki pod El-Alamein?";"W 1942 r.";"II Wojna Światowa"
"z jakiego kruszcu bito talary?";"Ze srebra";"Waluty Świata"
"w którym kraju znajduje się skarbiec Atreusza (grób Agamemnona)?";"W Grecji";"Archeologia"
"na drodze ma pierwszeństwo kierujący ruchem czy sygnalizacja świetlna?";"Kierujący ruchem (policjant)";"Prawo"
"jaką nazwą określa się olinowanie statku?";"Takielunek";"Transport"
"czy w archipelagu Wysp Kanaryjskich występują czynne wulkany?";"TAK";"Geologia"
"co w wioślarstwie i szermierce oznacza repasaż?";"Dodatkową rundę barażową";"Sport"
"jak po łacinie brzmi określenie drogi krzyżowej «via dolorosa»?";"Via crucis";"Kościoły i Religie Świata"
"ile par nóg mają pająki?";"Cztery";"Zoologia"
"czy równik przecina terytorium Brazylii?";"TAK";"Geografia Fizyczna"
"kolumna-pomnik którego króla stoi na placu Zamkowym w Warszawie?";"Zygmunta III Wazy";"Malarstwo, Rzeźba, Architektura"
"jak ma na imię przyjaciel kota Filemona?";"Bonifacy";"Telewizja"
"jak brzmi skrót nazwy zawodowej ligi koszykówki w USA?";"NBA";"Sport"
"w którym województwie leży Częstochowa?";"W śląskim";"Polska: Geografia"
"którą rocznicę zniesienia stanu wojennego obchodzono w 2013 r.?";"Trzydziestą";"Historia Najnowsza"
"Dzikie Pola to bezkresne stepy na brzegach której rzeki";"Dniepr";"Geografia Fizyczna"
"carskie wrota to główne drzwi ikonostasu czy drzwi wejściowe dla duchownych";"ikonostas";"Kościoły i Religie Świata"
"z których kolorów składa się flaga Holandii";"czerwony, biały, niebieski";"Symbole państw"
"ile wynosi długość Mierzei Helskiej – 14, 24 czy 34 km";"34 km";"Polska: Geografia"
"żabot to ozdobna część garderoby przypinana pod szyją czy na pasie";"pod szyją";"Moda i Ubiory"
"rosarium to ogród, w którym rosną głównie jakie kwiaty";"róże";"Botanika"
"jak nazywa się regularnie oszlifowany diament";"brylant";"Geologia"
"który to wiek – 1578";"XVI";"Kalendarz i Czas"
"jakiego rodzaju jest rzeczownik «abecadło»";"nijaki";"Język Polski"
"jak nazywa się liczba pod kreską ułamkową";"mianownik (denominator)";"Matematyka"
"na jakiej nawierzchni rozgrywane są mecze siatkówki plażowej";"piasek";"Sport"
"która liczba jest mniejsza: –¾ czy –⅓";"–¾";"Matematyka"
"jakiej narodowości był Fryderyk Engels";"Niemieckiej";"Filozofia"
"w czasie której wojny rozgrywa się akcja «Fabryka oficerów»";"II wojny światowej";"II Wojna Światowa"
"podaj nazwę organu doradczego Prezydenta RP w sprawach bezpieczeństwa państwa";"Biuro Bezpieczeństwa Narodowego (BBN)";"Polska: Polityka i Gospodarka"
"kto jest autorem «Monachomachii»";"Ignacy Krasicki";"Literatura Polska"
"ile wynosi 3 silnia";"6";"Matematyka"
"jak nazywa się niewiasta-opiekunka Zosi w «Panu Tadeuszu»";"Telimena";"Literatura Polska"
"jak w starożytnym Rzymie nazywano publiczne łaźnie";"termy";"Historia Starożytna"
"jak nazywa się doroczna francuska nagroda dla najlepszego filmu";"Cezar";"Nagrody i Odznaczenia"
"stolica którego państwa leży w widłach Nilu Białego i Błękitnego";"Sudanu (Chartum)";"Geografia Polityczna"
"czy hektar (ha) należy do układu SI";"NIE";"Miary i Wagi"
"miński, brzeski, grodzieński, witebski – to obwody w którym państwie";"na Białorusi";"Geografia Polityczna"
"Satchmo to przydomek którego jazzmana";"Louisa Armstronga";"Muzyka: Jazz"
"co znaczy łacińskie «errare humanum est»";"błądzić jest rzeczą ludzką";"Powiedzenia i Przysłowia"
"podaj oba imiona Pana Zagłoby";"Jan Onufry";"Literatura Polska"
"jak nazywa się japoński narodowy napój alkoholowy";"sake";"Dania i Napoje"
"Triest to miasto portowe w którym państwie";"we Włoszech";"Miasta Świata"
"kto w 1936 r. został marszałkiem Polski";"Edward Rydz-Śmigły";"Polska: Historia"
"w którym polskim mieście w 1595 r. rozpoczęła działalność wyższa uczelnia";"w Zamościu";"Polska: Historia"
"ile matek «ssie pokorne cielę» – według przysłowia";"dwie";"Powiedzenia i Przysłowia"
"«ktoś» – jaka to część mowy";"zaimek";"Język Polski"
"które miasto jest stolicą Szwajcarii";"Berno";"Miasta Świata"
"jak brzmi imię i nazwisko niemieckiego lekarza zwanego «Aniołem Śmierci»";"Joseph Mengele";"Historia Najnowsza"
"kto jest autorem telewizyjnego cyklu «Sensacje XX wieku»";"Bogusław Wołoszański";"Telewizja"
"jak nazywa się rodzaj góralskiej kamizelki";"serdak";"Etnografia"
"jak po łacinie brzmi określenie warunku koniecznego";"sine qua non";"Języki"
"na ile części «człowiek drobiazgowy» dzieli włos";"na czworo";"Powiedzenia i Przysłowia"
"którego dnia sierpnia przypada w Polsce święto Matki Boskiej Zielnej";"15 sierpnia";"Kościoły i Religie Świata"
"irbis – to ptak czy ssak";"ssak (pantera śnieżna)";"Zoologia"
"który polski noblista był synem wiejskiego organisty";"Władysław Reymont";"Literatura Polska"
"czy członkowie The Beatles spotkali się z Elvisem Presleyem";"TAK (1965 r.)";"Muzyka Światowa"
"«triumf» czy «owacja» – które było najwyższym zaszczytem zwycięskiego wodza rzymskiego";"triumf";"Historia Starożytna"
"jak nazywa się gałąź medycyny zajmująca się chorobami krwi";"hematologia";"Medycyna"
"jak zatytułowana jest druga część przygód Alicji";"«Po drugiej stronie lustra»";"Literatura: Klasyka Światowa"
"czy Chiny są członkiem ONZ";"TAK";"ONZ"
"która kobieta znalazła w koszu niemowlę i nadała mu imię Mojżesz";"córka faraona";"Biblia: Stary i Nowy Testament"
"który polski skoczek wzwyż zdobył srebro w Moskwie (1980) i złoto w Montrealu (1976)";"Jacek Wszoła";"Igrzyska Olimpijskie"
"jak w gwarze łowieckiej nazywa się miejsce zryte przez żerujące dziki";"buchtowisko";"Zoologia"
"jak nazywał się pierwszy satelita komunikacyjny umieszczony na orbicie";"Telstar";"Kosmos i Rakiety"
"w których górach wznosi się szczyt Gasherbrum";"w Karakorum";"Geografia Fizyczna"
"jak z włoskiego nazywa się obraz o kształcie koła";"rondo (tondo)";"Malarstwo, Rzeźba, Architektura"
"w którym wieku Timor Wschodni uzyskał niepodległość od Indonezji";"XXI w. (2002)";"Historia Najnowsza"
"kto napisał «Jak Wojtek został strażakiem» i «Misia Uszatka»";"Czesław Janczarski";"Literatura Polska"
"częścią którego morza jest Zatoka Akaba";"Morza Czerwonego";"Morza i Oceany"
"jak nazywa się silnie trujące białko z nasion rącznika pospolitego";"rycyna";"Chemia"
"na której wyspie stała latarnia morska zaliczana do siedmiu cudów świata";"na Faros (koło Aleksandrii)";"Historia Starożytna"
"ile księżyców ma planeta Wenus";"żadnego";"Astronomia i Astrologia"
"czy w szkielecie psa występują kości nadgarstka, śródręcza i palców";"TAK";"Zoologia"
"czyim bratankiem był Filip Orleański";"Ludwika XIV";"Dynastie i Rodziny Królewskie"
"do jakiego państwa należy archipelag Peskadory";"do Chin (Republiki Chińskiej – Tajwanu)";"Geografia Polityczna"
"czy Petersburg był stolicą Rosji";"TAK";"Rosja: Historia i Kultura"
"jak miał na imię satyryk i karykaturzysta Lipiński";"Eryk";"Polska: Kultura, Sztuka, Nauka"
"czy spółka z o.o. z obcym kapitałem może ubiegać się o środki UE";"TAK";"Ekonomia"
"z którym cesarzem rzymskim kojarzą się imiona Brutusa i Kasjusza";"Juliuszem Cezarem";"Historia Starożytna"
"w którym wieku powstał Zalew Zegrzyński";"XX w. (1963)";"Polska: Geografia"
"tłuczeń – to minerał czy kruszywo budowlane";"kruszywo budowlane";"Budownictwo"
"jakie imię nosił słoń Stasia i Nel";"King";"Sienkiewicz Henryk"
"ilu zawodników liczy drużyna na boisku w futbolu amerykańskim";"11";"Sport"
"czy funkcja sinus jest okresowa";"TAK";"Matematyka"
"w jakim języku pisał poezje Klemens Janicki";"po łacinie";"Literatura Polska"
"jak nazywało się Nowe Jork przed 1664 r.";"Nowy Amsterdam";"Historia Nowożytna"
"podaj symbol pierwiastka tytanu";"Ti";"Chemia"
"Toronto jest stolicą której kanadyjskiej prowincji";"Ontario";"Geografia Polityczna"
"imponderabilia – sprawy konkretne czy nieuchwytne";"rzeczy nieuchwytne";"Filozofia"
"Żelazna Brama to przełomowa dolina której rzeki";"Dunaju";"Geografia Fizyczna"
"film «Amadeusz» opowiada o życiu którego kompozytora";"Wolfganga Amadeusza Mozarta";"Film i Telewizja"
"przed czym chronią środki zwane analgetykami";"przed bólem";"Medycyna"
"które dwa kontynenty nazywano Nowym Światem";"Amerykę Północną i Południową";"Geografia Fizyczna"
"nazwisko hetmana wspomnianego w polskim hymnie";"Stefan Czarniecki";"Polska: Historia"
"czy Egipt graniczy z Izraelem";"TAK";"Geografia Polityczna"
"nad którą rzeką leży Wiedeń";"nad Dunajem";"Miasta Świata"
"opowieść o wypędzeniu Adama i Ewy znajduje się w NT czy ST";"w Starym Testamencie";"Biblia: Stary i Nowy Testament"
"półwysep Skandynawski jest częścią którego kontynentu";"Europy";"Geografia Fizyczna"
"czy szarotka alpejska jest w Polsce pod ochroną";"TAK";"Botanika"
"ile dni po Hiroszimie zrzucono bombę atomową na Nagasaki";"trzy";"II Wojna Światowa"
"czy sześcian jest szczególnym rodzajem prostopadłościanu";"TAK";"Matematyka"
"Wielki Tydzień to ostatnia część którego okresu liturgicznego";"Wielkiego Postu";"Kościoły i Religie Świata"
"z czego uszyto «Nowe szaty cesarza» w baśni Andersena";"z niczego (z powietrza)";"Literatura: Klasyka Światowa"
"czy Mahatma Gandhi zmarł śmiercią naturalną";"zginął w zamachu";"Historia Najnowsza"
"co rozpętał Franek Dolas (tytułowy bohater filmu)";"II wojnę światową";"Film i Telewizja"
"rzeczownik to część zdania czy część mowy";"część mowy";"Język Polski"
"tropik – zewnętrzne czy wewnętrzne pokrycie namiotu";"zewnętrzne";"Turystyka i Rekreacja"
"na polecenie którego króla wzniesiono Kaplicę Zygmuntowską na Wawelu";"Zygmunta I Starego";"Polska: Historia"
"jak nazywa się zjawisko świecenia górnych warstw atmosfery ziemskiej";"zorza polarna";"Astronomia i Astrologia"
"w granicach którego miasta leży Las Kabacki";"Warszawy";"Polska: Geografia"
"jeden cal to więcej czy mniej niż 25 mm";"więcej";"Miary i Wagi"
"w którym stuleciu Wróblewski i Olszewski skroplili tlen i azot";"XIX w.";"Historia techniki"
"ile lat miał kapitan w tytule powieści Juliusza Verne’a";"15";"Literatura: Klasyka Światowa"
"jak z angielskiego nazywa się gra pojedyncza w tenisie";"singiel";"Sport"
"który stopień wojskowy jest najwyższy w marynarce wojennej";"admirał";"Armie Świata"
"ulęgałka to owoc którego rodzaju drzewa";"gruszki";"Botanika"
"czy estry są związkami organicznymi";"TAK";"Chemia"
